Timestamp;Your Gender;Your Age;Are you currently....?;What is your annual income?;How often do you visit Starbucks?;How much time do you normally  spend during your visit?;Do you have Starbucks membership card?;What do you most frequently purchase at Starbucks?;On average, how much would you spend at Starbucks per visit?;How would you rate the quality of Starbucks compared to other brands (Coffee Bean, Old Town White Coffee..) to be:;How would you rate the price range at Starbucks?;How do you come to hear of promotions at Starbucks? Check all that apply.;Will you continue buying at Starbucks?
2019/10/01 12:38:43 PM GMT+8;Female;From 20 to 29;Student;Less than RM25,000;Rarely;Between 30 minutes to 1 hour;Yes;Coffee;Less than RM20;4;3;Starbucks Website/Apps;
2019/10/01 12:38:54 PM GMT+8;Female;From 20 to 29;Student;Less than RM25,000;Rarely;Below 30 minutes;Yes;Cold drinks;;;;;
2019/10/01 12:38:56 PM GMT+8;Male;From 20 to 29;Employed;Less than RM25,000;Monthly;Between 30 minutes to 1 hour;Yes;Coffee;Less than RM20;4;3;In Store displays;
2019/10/01 12:39:08 PM GMT+8;Female;From 20 to 29;Student;Less than RM25,000;Rarely;Below 30 minutes;No;Coffee;Less than RM20;2;1;Through friends and word of mouth;No
2019/10/01 12:39:20 PM GMT+8;Male;From 20 to 29;Student;Less than RM25,000;Monthly;Between 30 minutes to 1 hour;No;Coffee;;;;;
2019/10/01 12:39:39 PM GMT+8;Female;From 20 to 29;Student;Less than RM25,000;Rarely;Between 30 minutes to 1 hour;No;Cold drinks;Less than RM20;4;3;Social Media;Yes
2019/10/01 12:39:42 PM GMT+8;Female;From 20 to 29;Student;Less than RM25,000;Rarely;Below 30 minutes;Yes;Coffee;Around RM20 - RM40;5;5;Starbucks Website/Apps;
2019/10/01 12:40:58 PM GMT+8;Male;From 20 to 29;Employed;RM50,000 - RM100,000;Rarely;Between 30 minutes to 1 hour;Yes;Coffee;;;;;
2019/10/01 12:42:27 PM GMT+8;Female;From 20 to 29;Student;Less than RM25,000;Rarely;Below 30 minutes;Yes;Cold drinks;More than RM40;5;4;Starbucks Website/Apps;
2019/10/01 12:43:36 PM GMT+8;Male;From 20 to 29;Employed;Less than RM25,000;Monthly;Below 30 minutes;No;Coffee;Around RM20 - RM40;4;3;Social Media;
2019/10/01 12:47:00 PM GMT+8;Female;From 20 to 29;Student;Less than RM25,000;Rarely;Below 30 minutes;No;Cold drinks;Less than RM20;4;1;Social Media;Yes
2019/10/01 12:48:26 PM GMT+8;Female;From 20 to 29;Student;Less than RM25,000;Rarely;Between 30 minutes to 1 hour;No;Coffee;Less than RM20;3;2;Starbucks Website/Apps;
2019/10/01 12:49:25 PM GMT+8;Female;From 20 to 29;Student;Less than RM25,000;Weekly;Below 30 minutes;Yes;Coffee;;;;;
2019/10/01 12:53:09 PM GMT+8;Female;From 20 to 29;Student;Less than RM25,000;Rarely;Below 30 minutes;Yes;Coffee;Less than RM20;4;3;Social Media;Yes
2019/10/01 12:53:16 PM GMT+8;Female;From 20 to 29;Student;Less than RM25,000;Rarely;Below 30 minutes;Yes;Coffee;Less than RM20;5;2;Social Media;
2019/10/01 12:57:31 PM GMT+8;Female;From 20 to 29;Employed;Less than RM25,000;Rarely;Between 30 minutes to 1 hour;Yes;Coffee;Less than RM20;4;1;Starbucks Website/Apps;No
2019/10/01 12:59:11 PM GMT+8;Male;From 30 to 39;Employed;RM50,000 - RM100,000;Monthly;Below 30 minutes;Yes;Coffee;Around RM20 - RM40;4;3;Social Media;Yes
2019/10/01 1:08:15 PM GMT+8;Male;From 20 to 29;Employed;Less than RM25,000;Rarely;Below 30 minutes;Yes;Coffee;Less than RM20;4;4;Social Media;
2019/10/01 1:09:12 PM GMT+8;Male;From 20 to 29;Employed;RM25,000 - RM50,000;Weekly;Below 30 minutes;Yes;Coffee;Around RM20 - RM40;4;3;Starbucks Website/Apps;
2019/10/01 1:13:03 PM GMT+8;Female;From 20 to 29;Self-employed;RM50,000 - RM100,000;Rarely;Below 30 minutes;Yes;Cold drinks;Less than RM20;3;4;Emails;Yes
2019/10/01 1:13:45 PM GMT+8;Male;From 30 to 39;Employed;RM100,000 - RM150,000;Rarely;Below 30 minutes;Yes;Coffee;Around RM20 - RM40;2;2;Social Media;
2019/10/01 1:14:43 PM GMT+8;Female;From 20 to 29;Employed;Less than RM25,000;Rarely;Below 30 minutes;No;Coffee;Around RM20 - RM40;5;3;Social Media;Yes
2019/10/01 1:21:50 PM GMT+8;Male;From 20 to 29;Employed;RM25,000 - RM50,000;Rarely;More than 3 hours;No;Coffee;Less than RM20;5;2;Through friends and word of mouth;No
2019/10/01 1:24:04 PM GMT+8;Female;From 20 to 29;Student;Less than RM25,000;Monthly;Between 1 hour to 2 hours;Yes;Cold drinks;;;;;
2019/10/01 1:24:21 PM GMT+8;Male;40 and above;Self-employed;RM100,000 - RM150,000;Rarely;Between 1 hour to 2 hours;No;Coffee;;;;;
2019/10/01 1:25:56 PM GMT+8;Male;From 30 to 39;Employed;More than RM150,000;Monthly;Between 30 minutes to 1 hour;Yes;Coffee;;;;;
2019/10/01 1:29:11 PM GMT+8;Male;From 30 to 39;Employed;More than RM150,000;Rarely;Below 30 minutes;No;Coffee;Less than RM20;4;2;Application offer;No
2019/10/01 1:33:54 PM GMT+8;Male;From 20 to 29;Self-employed;Less than RM25,000;Monthly;Below 30 minutes;No;Coffee;Around RM20 - RM40;5;3;Social Media;Yes
2019/10/01 1:34:30 PM GMT+8;Male;40 and above;Self-employed;More than RM150,000;Weekly;Below 30 minutes;Yes;Coffee;More than RM40;4;5;Starbucks Website/Apps;
2019/10/01 1:37:27 PM GMT+8;Female;From 20 to 29;Employed;RM50,000 - RM100,000;Rarely;Between 30 minutes to 1 hour;Yes;Coffee;Less than RM20;5;5;Starbucks Website/Apps;
2019/10/01 1:39:16 PM GMT+8;Female;From 20 to 29;Employed;RM25,000 - RM50,000;Monthly;Between 30 minutes to 1 hour;Yes;Coffee;;;;;
2019/10/01 1:40:23 PM GMT+8;Female;From 20 to 29;Employed;RM50,000 - RM100,000;Weekly;Below 30 minutes;Yes;Coffee;;;;;
2019/10/01 1:45:12 PM GMT+8;Female;From 30 to 39;Employed;RM25,000 - RM50,000;Rarely;Below 30 minutes;No;Coffee;Around RM20 - RM40;2;3;Social Media;Yes
2019/10/01 1:45:43 PM GMT+8;Female;From 20 to 29;Employed;RM25,000 - RM50,000;Rarely;Between 30 minutes to 1 hour;Yes;Coffee;Less than RM20;3;2;Social Media;No
2019/10/01 1:51:47 PM GMT+8;Female;From 20 to 29;Employed;RM25,000 - RM50,000;Rarely;Below 30 minutes;No;Coffee;Less than RM20;3;4;Social Media;
2019/10/01 1:51:56 PM GMT+8;Female;From 20 to 29;Student;Less than RM25,000;Rarely;Below 30 minutes;No;Coffee;Less than RM20;4;2;Social Media;No
2019/10/01 1:53:05 PM GMT+8;Female;From 20 to 29;Self-employed;Less than RM25,000;Rarely;Below 30 minutes;No;Cold drinks;Less than RM20;3;3;Social Media;Yes
2019/10/01 1:55:52 PM GMT+8;Male;Below 20;Student;Less than RM25,000;Rarely;Between 1 hour to 2 hours;No;Coffee;Less than RM20;5;2;Starbucks Website/Apps;
2019/10/01 1:57:01 PM GMT+8;Male;From 20 to 29;Employed;Less than RM25,000;Rarely;Below 30 minutes;Yes;Cold drinks;;;;;
2019/10/01 2:00:32 PM GMT+8;Male;From 30 to 39;Employed;RM50,000 - RM100,000;Rarely;Below 30 minutes;Yes;Coffee;Less than RM20;3;2;Starbucks Website/Apps;
2019/10/01 2:03:08 PM GMT+8;Female;From 20 to 29;Employed;RM25,000 - RM50,000;Never;Below 30 minutes;No;Coffee;Less than RM20;4;4;Social Media;Yes
2019/10/01 2:06:24 PM GMT+8;Male;From 20 to 29;Employed;Less than RM25,000;Monthly;Between 30 minutes to 1 hour;Yes;Coffee;Around RM20 - RM40;5;4;Starbucks Website/Apps;
2019/10/01 2:27:41 PM GMT+8;Female;From 20 to 29;Employed;RM25,000 - RM50,000;Weekly;Between 30 minutes to 1 hour;Yes;Coffee;Around RM20 - RM40;5;4;Social Media;Yes
2019/10/01 2:35:40 PM GMT+8;Female;From 20 to 29;Employed;Less than RM25,000;Monthly;Below 30 minutes;No;Coffee;;;;;
2019/10/01 2:41:01 PM GMT+8;Female;Below 20;Student;Less than RM25,000;Never;Below 30 minutes;No;Coffee;Zero;3;3;Social Media;Yes
2019/10/01 2:41:31 PM GMT+8;Female;From 30 to 39;Student;RM50,000 - RM100,000;Rarely;Below 30 minutes;Yes;Coffee;;;;;
2019/10/01 2:41:56 PM GMT+8;Female;Below 20;Student;Less than RM25,000;Never;Below 30 minutes;No;Cold drinks;Less than RM20;3;2;Through friends and word of mouth;Yes
2019/10/01 2:42:02 PM GMT+8;Female;From 20 to 29;Self-employed;Less than RM25,000;Rarely;Between 30 minutes to 1 hour;No;Coffee;Zero;3;1;Social Media;
2019/10/01 2:45:52 PM GMT+8;Female;From 20 to 29;Employed;RM25,000 - RM50,000;Rarely;Below 30 minutes;No;Cold drinks;Less than RM20;3;4;Social Media;
2019/10/01 3:08:53 PM GMT+8;Male;Below 20;Student;Less than RM25,000;Rarely;Below 30 minutes;Yes;Cold drinks;Less than RM20;3;3;Social Media;Yes
2019/10/01 3:12:11 PM GMT+8;Male;40 and above;Employed;RM100,000 - RM150,000;Rarely;Below 30 minutes;Yes;Coffee;Around RM20 - RM40;4;4;Social Media;
2019/10/01 3:16:32 PM GMT+8;Female;Below 20;Student;Less than RM25,000;Rarely;Below 30 minutes;No;Cold drinks;Less than RM20;3;3;Social Media;
2019/10/01 3:20:55 PM GMT+8;Female;40 and above;Housewife;Less than RM25,000;Monthly;Below 30 minutes;Yes;Cold drinks;;;;;
2019/10/01 3:21:16 PM GMT+8;Female;Below 20;Student;Less than RM25,000;Rarely;Below 30 minutes;No;Coffee;Around RM20 - RM40;3;3;Social Media;Yes
2019/10/01 3:57:29 PM GMT+8;Female;From 20 to 29;Employed;RM25,000 - RM50,000;Rarely;Between 30 minutes to 1 hour;Yes;Coffee;Around RM20 - RM40;4;3;Social Media;
2019/10/01 4:02:35 PM GMT+8;Female;From 20 to 29;Employed;RM25,000 - RM50,000;Monthly;Between 30 minutes to 1 hour;Yes;Coffee;Less than RM20;4;3;Starbucks Website/Apps;Yes
2019/10/01 4:03:17 PM GMT+8;Female;From 20 to 29;Employed;Less than RM25,000;Rarely;Below 30 minutes;No;Coffee;;;;;
2019/10/01 4:03:57 PM GMT+8;Male;Below 20;Student;Less than RM25,000;Monthly;Between 30 minutes to 1 hour;Yes;Coffee;Less than RM20;5;5;Through friends and word of mouth;Yes
2019/10/01 4:05:59 PM GMT+8;Male;Below 20;Student;Less than RM25,000;Monthly;Below 30 minutes;No;Coffee;Less than RM20;3;3;Social Media;Yes
2019/10/01 6:19:46 PM GMT+8;Female;From 20 to 29;Student;Less than RM25,000;Rarely;Below 30 minutes;No;Cold drinks;Less than RM20;4;3;Starbucks Website/Apps;
2019/10/01 8:32:12 PM GMT+8;Male;From 20 to 29;Student;Less than RM25,000;Rarely;Between 1 hour to 2 hours;Yes;Coffee;More than RM40;2;1;Social Media;Yes
2019/10/02 12:13:06 AM GMT+8;Female;From 20 to 29;Employed;Less than RM25,000;Rarely;Below 30 minutes;No;Coffee;;;;;
2019/10/02 9:29:28 AM GMT+8;Male;From 30 to 39;Student;Less than RM25,000;Rarely;Between 30 minutes to 1 hour;No;Coffee;Around RM20 - RM40;3;3;Social Media;Yes
2019/10/02 7:14:30 PM GMT+8;Male;From 20 to 29;Employed;Less than RM25,000;Rarely;Between 30 minutes to 1 hour;Yes;Coffee;Less than RM20;4;2;Social Media;
2019/10/02 7:15:13 PM GMT+8;Female;From 20 to 29;Employed;Less than RM25,000;Rarely;Below 30 minutes;No;Coffee;Zero;3;1;Social Media;No
2019/10/02 7:15:27 PM GMT+8;Female;From 20 to 29;Student;Less than RM25,000;Rarely;Between 30 minutes to 1 hour;No;Coffee;Less than RM20;4;3;Through friends and word of mouth;No
2019/10/02 7:23:55 PM GMT+8;Female;From 20 to 29;Self-employed;RM25,000 - RM50,000;Monthly;Below 30 minutes;Yes;Coffee;;;;;
2019/10/02 7:27:56 PM GMT+8;Female;From 20 to 29;Self-employed;Less than RM25,000;Never;Below 30 minutes;No;Never;Zero;3;3;Never hear;No
2019/10/02 7:29:53 PM GMT+8;Female;From 20 to 29;Employed;Less than RM25,000;Rarely;Below 30 minutes;No;Coffee;Zero;2;1;Starbucks Website/Apps;
2019/10/02 7:31:32 PM GMT+8;Female;From 20 to 29;Employed;RM25,000 - RM50,000;Rarely;Between 30 minutes to 1 hour;Yes;Cold drinks;Less than RM20;3;3;Social Media;
2019/10/02 7:33:51 PM GMT+8;Female;From 20 to 29;Employed;Less than RM25,000;Rarely;Below 30 minutes;No;Coffee;Less than RM20;4;3;Social Media;
2019/10/02 8:04:41 PM GMT+8;Male;From 20 to 29;Employed;RM25,000 - RM50,000;Weekly;Between 1 hour to 2 hours;Yes;Coffee;;;;;
2019/10/02 8:08:37 PM GMT+8;Female;From 20 to 29;Employed;Less than RM25,000;Monthly;Below 30 minutes;Yes;Coffee;Less than RM20;4;2;Through friends and word of mouth;Yes
2019/10/02 8:29:35 PM GMT+8;Male;From 30 to 39;Employed;Less than RM25,000;Rarely;Below 30 minutes;Yes;Cold drinks;Less than RM20;3;2;Starbucks Website/Apps;
2019/10/02 8:31:21 PM GMT+8;Female;From 20 to 29;Housewife;RM50,000 - RM100,000;Rarely;Below 30 minutes;No;Coffee;;;;;
2019/10/02 8:35:08 PM GMT+8;Male;From 20 to 29;Employed;RM25,000 - RM50,000;Rarely;Below 30 minutes;Yes;Coffee;Less than RM20;3;3;Social Media;
2019/10/02 8:52:13 PM GMT+8;Male;From 20 to 29;Employed;Less than RM25,000;Rarely;Below 30 minutes;No;Coffee;Less than RM20;4;2;Social Media;
2019/10/02 9:19:50 PM GMT+8;Male;From 20 to 29;Employed;RM50,000 - RM100,000;Monthly;Between 30 minutes to 1 hour;Yes;Coffee;Around RM20 - RM40;4;2;Social Media;Yes
2019/10/03 7:19:36 AM GMT+8;Female;From 20 to 29;Student;Less than RM25,000;Rarely;Below 30 minutes;No;Coffee;Less than RM20;2;1;Social Media;
2019/10/03 7:21:08 AM GMT+8;Female;Below 20;Student;Less than RM25,000;Rarely;Below 30 minutes;No;Cold drinks;Less than RM20;2;2;Social Media;
2019/10/03 8:46:25 AM GMT+8;Female;From 20 to 29;Employed;RM50,000 - RM100,000;Monthly;More than 3 hours;Yes;Coffee;Around RM20 - RM40;3;2;Starbucks Website/Apps;No
2019/10/03 9:11:28 AM GMT+8;Male;From 20 to 29;Employed;Less than RM25,000;Never;Below 30 minutes;No;Never buy any;Zero;1;1;NA;No
2019/10/03 11:14:37 AM GMT+8;Male;From 20 to 29;Self-employed;RM50,000 - RM100,000;Rarely;Between 1 hour to 2 hours;Yes;Cold drinks;Less than RM20;5;5;Starbucks Website/Apps;Yes
2019/10/03 11:14:44 AM GMT+8;Male;From 30 to 39;Self-employed;RM50,000 - RM100,000;Weekly;Between 30 minutes to 1 hour;Yes;Coffee;Less than RM20;4;4;Social Media;Yes
2019/10/03 11:15:13 AM GMT+8;Male;From 20 to 29;Employed;RM25,000 - RM50,000;Rarely;Between 1 hour to 2 hours;No;Coffee;Around RM20 - RM40;4;2;In Store displays;No
2019/10/03 11:17:27 AM GMT+8;Male;From 30 to 39;Self-employed;More than RM150,000;Monthly;Between 2 hours to 3 hours;Yes;Jaws chip ;Around RM20 - RM40;4;3;Starbucks Website/Apps;
2019/10/03 11:18:48 AM GMT+8;Male;From 20 to 29;Self-employed;More than RM150,000;Rarely;Between 30 minutes to 1 hour;Yes;Coffee;More than RM40;4;3;Social Media;
2019/10/03 11:22:03 AM GMT+8;Female;From 20 to 29;Employed;Less than RM25,000;Rarely;Below 30 minutes;Yes;Coffee;Around RM20 - RM40;3;3;Social Media;
2019/10/03 11:25:13 AM GMT+8;Female;From 20 to 29;Employed;RM25,000 - RM50,000;Rarely;Below 30 minutes;Yes;cake ;Around RM20 - RM40;4;4;Starbucks Website/Apps;
2019/10/03 11:32:03 AM GMT+8;Male;From 20 to 29;Self-employed;RM25,000 - RM50,000;Rarely;Below 30 minutes;Yes;Cold drinks;Zero;5;5;Starbucks Website/Apps;Yes
2019/10/03 12:12:22 PM GMT+8;Female;From 30 to 39;Employed;RM50,000 - RM100,000;Weekly;Between 1 hour to 2 hours;Yes;Coffee;Around RM20 - RM40;4;4;Emails;Yes
2019/10/03 12:13:56 PM GMT+8;Female;From 30 to 39;Employed;RM25,000 - RM50,000;Monthly;Between 30 minutes to 1 hour;Yes;Coffee;;;;;
2019/10/03 1:30:06 PM GMT+8;Female;From 20 to 29;Employed;RM25,000 - RM50,000;Never;Below 30 minutes;No;Coffee;Zero;3;3;Social Media;No
2019/10/03 2:13:11 PM GMT+8;Female;From 20 to 29;Employed;Less than RM25,000;Rarely;Below 30 minutes;Yes;Coffee;Less than RM20;5;3;Social Media;
2019/10/03 2:34:09 PM GMT+8;Male;From 20 to 29;Employed;RM50,000 - RM100,000;Monthly;Below 30 minutes;Yes;Coffee;Around RM20 - RM40;3;1;Social Media;
2019/10/03 3:11:13 PM GMT+8;Female;From 20 to 29;Employed;RM25,000 - RM50,000;Rarely;Between 30 minutes to 1 hour;Yes;Cold drinks;Less than RM20;3;3;Social Media;
2019/10/03 3:44:13 PM GMT+8;Female;From 20 to 29;Self-employed;Less than RM25,000;Rarely;Below 30 minutes;No;Cold drinks;Less than RM20;3;3;Social Media;
2019/10/03 4:25:38 PM GMT+8;Female;From 30 to 39;Employed;Less than RM25,000;Rarely;Below 30 minutes;No;Pastries;Around RM20 - RM40;3;3;Social Media;Yes
2019/10/03 4:41:10 PM GMT+8;Female;From 20 to 29;Employed;RM25,000 - RM50,000;Rarely;Below 30 minutes;Yes;Coffee;Around RM20 - RM40;4;3;Starbucks Website/Apps;
2019/10/03 5:19:31 PM GMT+8;Male;From 30 to 39;Employed;Less than RM25,000;Rarely;Between 30 minutes to 1 hour;Yes;Coffee;Less than RM20;4;2;Social Media;Yes
2019/10/03 6:24:46 PM GMT+8;Male;From 20 to 29;Student;Less than RM25,000;Rarely;Between 30 minutes to 1 hour;No;Cold drinks;Around RM20 - RM40;3;2;Through friends and word of mouth;Yes
2019/10/03 6:31:44 PM GMT+8;Male;From 20 to 29;Student;Less than RM25,000;Rarely;Between 30 minutes to 1 hour;No;Coffee;Less than RM20;3;4;Through friends and word of mouth;Yes
2019/10/03 6:35:21 PM GMT+8;Male;From 20 to 29;Self-employed;RM50,000 - RM100,000;Daily;Below 30 minutes;Yes;Coffee;Around RM20 - RM40;4;2;Social Media;
2019/10/03 6:41:20 PM GMT+8;Male;From 30 to 39;Employed;RM25,000 - RM50,000;Weekly;Between 1 hour to 2 hours;No;Coffee;;;;;
2019/10/03 6:44:10 PM GMT+8;Male;Below 20;Student;Less than RM25,000;Rarely;Between 30 minutes to 1 hour;No;Pastries;Less than RM20;4;4;Social Media;
2019/10/03 6:45:28 PM GMT+8;Male;40 and above;Employed;RM50,000 - RM100,000;Monthly;Between 30 minutes to 1 hour;No;Cold drinks;Around RM20 - RM40;4;3;Starbucks Website/Apps;Yes
2019/10/03 6:46:53 PM GMT+8;Male;From 20 to 29;Student;Less than RM25,000;Rarely;Below 30 minutes;No;Coffee;Around RM20 - RM40;3;3;Starbucks Website/Apps;
2019/10/03 7:00:47 PM GMT+8;Female;Below 20;Student;Less than RM25,000;Never;Below 30 minutes;No;Cold drinks;;;;;
2019/10/03 7:14:53 PM GMT+8;Male;From 20 to 29;Student;Less than RM25,000;Never;Below 30 minutes;No;never;Zero;3;3;Through friends and word of mouth;No
2019/10/03 7:40:31 PM GMT+8;Male;From 20 to 29;Student;Less than RM25,000;Rarely;Below 30 minutes;No;Coffee;;;;;
2019/10/03 7:43:00 PM GMT+8;Male;From 20 to 29;Student;Less than RM25,000;Rarely;Below 30 minutes;No;Cold drinks;Zero;4;2;Social Media;No
2019/10/03 7:47:00 PM GMT+8;Female;From 20 to 29;Employed;Less than RM25,000;Monthly;Below 30 minutes;No;Cold drinks;Less than RM20;5;4;Social Media;
2019/10/03 7:58:17 PM GMT+8;Male;From 20 to 29;Student;More than RM150,000;Never;Below 30 minutes;No;Nothing ;Zero;1;1;Billboards;No
2019/10/03 8:58:26 PM GMT+8;Female;Below 20;Student;Less than RM25,000;Rarely;Below 30 minutes;No;Cold drinks;Less than RM20;3;4;Social Media;Yes
2019/10/03 9:25:36 PM GMT+8;Male;40 and above;Self-employed;RM25,000 - RM50,000;Rarely;Between 30 minutes to 1 hour;No;Cold drinks;Less than RM20;2;2;In Store displays;No
2019/10/03 10:38:42 PM GMT+8;Male;Below 20;Student;Less than RM25,000;Daily;Below 30 minutes;No;Cold drinks;Around RM20 - RM40;5;5;Social Media;
2019/10/03 11:24:55 PM GMT+8;Male;From 30 to 39;Student;Less than RM25,000;Monthly;Between 1 hour to 2 hours;No;Cold drinks;Less than RM20;4;4;Social Media;Yes
2019/10/04 12:24:26 AM GMT+8;Male;40 and above;Self-employed;RM25,000 - RM50,000;Monthly;Between 1 hour to 2 hours;Yes;Coffee;Around RM20 - RM40;3;3;Starbucks Website/Apps;
2019/10/04 9:30:09 AM GMT+8;Male;From 20 to 29;Employed;Less than RM25,000;Monthly;Between 1 hour to 2 hours;Yes;Coffee;;;;;
2019/10/04 1:46:07 PM GMT+8;Male;From 20 to 29;Student;Less than RM25,000;Rarely;Between 30 minutes to 1 hour;No;Coffee;;;;;
2019/10/05 11:01:14 AM GMT+8;Female;From 20 to 29;Employed;Less than RM25,000;Rarely;Below 30 minutes;No;Coffee;Less than RM20;4;4;Social Media;
2019/10/05 4:57:22 PM GMT+8;Male;From 20 to 29;Employed;RM50,000 - RM100,000;Rarely;Between 30 minutes to 1 hour;No;Coffee;Less than RM20;1;1;In Store displays;No
